Id,ID_Reserva,Num_Adultos,Num_Niños,Noches_Fin_Semana,Noches_Semana,Tipo_Plan_Comidas,Requiere_Estacionamiento,Tipo_Habitación_Reservada,Tiempo_Antelación,Año_Llegada,Mes_Llegada,Día_Llegada,Segmento_Mercado,Huésped_Recurrente,Num_Cancelaciones_Previas,Num_Reservas_Previas_No_Canceladas,Precio_Promedio_Por_Habitación,Num_Solicitudes_Especiales,Estado_Reserva
6060,INN06061,2,0,0,2,Meal Plan 1,0,,57.0,2018,3,4,Online,0,0,0,80.3,,No Cancelada
32319,INN32320,2,0,2,1,Meal Plan 1,0,Room_Type 1,282.0,2017,10,10,Offline,0,0,0,,0.0,No Cancelada
7091,INN07092,2,0,2,4,Not Selected,0,Room_Type 1,13.0,2018,2,5,,0,0,0,79.0,0.0,Cancelada
13881,INN13882,2,0,0,1,Not Selected,0,Room_Type 1,0.0,2018,3,30,Online,0,0,0,80.1,0.0,No Cancelada
29428,INN29429,1,0,0,4,,0,Room_Type 1,323.0,2018,5,17,Offline,0,0,0,86.0,0.0,No Cancelada
17588,INN17589,2,0,1,3,,0,Room_Type 1,29.0,2018,12,19,Online,0,0,0,88.4,,No Cancelada
30472,INN30473,1,0,0,2,Meal Plan 1,0,Room_Type 1,32.0,2017,11,20,Offline,0,0,0,73.0,0.0,No Cancelada
8848,INN08849,2,0,0,3,Meal Plan 1,0,Room_Type 1,,2018,4,28,Online,0,0,0,120.0,1.0,No Cancelada
3453,INN03454,2,0,2,4,,0,Room_Type 1,263.0,2018,9,29,Online,0,0,0,100.3,0.0,Cancelada
17905,INN17906,1,0,0,1,Meal Plan 1,0,Room_Type 1,,2017,11,24,Corporate,0,0,0,65.0,0.0,No Cancelada
19433,INN19434,1,0,0,2,Meal Plan 2,0,Room_Type 1,377.0,2018,10,14,Offline,0,0,0,90.0,0.0,Cancelada
11981,INN11982,2,0,0,1,Not Selected,0,Room_Type 1,70.0,2018,9,15,Online,0,0,0,125.1,1.0,No Cancelada
29185,INN29186,2,0,1,1,Meal Plan 1,0,Room_Type 1,16.0,2018,10,8,Offline,0,0,0,85.0,1.0,No Cancelada
10382,INN10383,1,0,0,3,,0,Room_Type 4,,2018,6,14,Online,0,0,0,,1.0,No Cancelada
13659,INN13660,2,1,0,4,Meal Plan 1,0,Room_Type 1,79.0,2018,11,29,Online,0,0,0,122.0,,No Cancelada
11349,INN11350,1,0,2,0,Meal Plan 1,0,Room_Type 1,1.0,2018,1,3,,0,0,0,,0.0,No Cancelada
7735,INN07736,3,0,2,3,Meal Plan 1,0,Room_Type 4,53.0,2017,9,26,Offline,0,0,0,167.22,1.0,No Cancelada
19493,INN19494,2,0,0,2,Meal Plan 2,0,Room_Type 1,14.0,2017,9,17,Offline,0,0,0,82.0,0.0,No Cancelada
27066,INN27067,2,0,0,3,,0,Room_Type 1,33.0,2018,6,15,Online,0,0,0,126.9,1.0,No Cancelada
